# ID,label,height,hw_ratio,height_var,root_density,cmass_density,2d_density,2d_hull_area,shape_index,compactness,linearity,sphericity
  52.00000,   0.00000,   9.35000,   0.47182,   4.10341,   0.00875,   0.00000,  32.60950, 392.70761,   5.21580,   0.77866,   0.17991,   0.07398
  53.00000,   0.00000,   4.15000,   0.49010,   0.29026,   0.00943,   0.00000,  36.95936,  71.70038,   2.22146,   0.56482,   0.28572,   0.11532
  54.00000,   0.00000,  10.97000,   0.58445,   4.99637,   0.00139,   0.00000,  38.79368, 352.29965,   4.93591,   0.71342,   0.12333,   0.02334
  55.00000,   0.00000,   9.15000,   0.47276,   2.80272,   0.00337,   0.00000,  38.00163, 374.58926,   4.99524,   0.68229,   0.48928,   0.24894
  56.00000,   0.00000,   4.78000,   0.37259,   0.51914,   0.00546,   0.00000,  36.74586, 164.58997,   3.19133,   0.70169,   0.10172,   0.03228
  57.00000,   0.00000,   6.45000,   0.41013,   2.20801,   0.01462,   0.00000,  37.87654, 247.32991,   4.14872,   0.66215,   0.51828,   0.19456
  58.00000,   0.00000,   3.58000,   0.46619,   0.45327,   0.00844,   0.00000,  38.15356,  58.97221,   1.92920,   0.50140,   0.46272,   0.09615
  59.00000,   0.00000,   4.30000,   0.29021,   0.70796,   0.03190,   0.00000,  35.41046, 219.53967,   3.84784,   0.65354,   0.20308,   0.02876
  60.00000,   0.00000,   9.45000,   0.16024,   0.79151,   0.00006,   0.00002,  36.11293,3478.11670,  12.24774,   0.76276,   0.66962,   0.08772
  61.00000,   0.00000,   4.85000,   0.38541,   0.44326,   0.01068,   0.00000,  36.05188, 158.35512,   3.25281,   0.67486,   0.22128,   0.54309
  62.00000,   0.00000,   5.33000,   0.50390,   0.48587,   0.01349,   0.00000,  39.09486, 111.88171,   2.75629,   0.64077,   0.32347,   0.50424
  63.00000,   0.00000,   3.71000,   0.34614,   0.39633,   0.01210,   0.00000,  37.40525, 114.87693,   2.78770,   0.60755,   0.56703,   0.03398
  64.00000,   0.00000,   9.42000,   0.32921,   2.48250,   0.00292,   0.00096,  34.32100, 818.74066,   7.24640,   0.79515,   0.40090,   0.39597
  65.00000,   0.00000,   1.50000,   0.19568,   0.14688,   0.25854,   0.00000,  37.84772,  58.76180,   1.96514,   0.57381,   0.17613,   0.03679
  66.00000,   0.00000,   4.62000,   0.28563,   0.42070,   0.01613,   0.00308,  31.04166, 261.61612,   3.83951,   0.59763,   0.41691,   0.17833
  67.00000,   0.00000,   7.14000,   0.57744,   2.17676,   0.00419,   0.00000,  43.68464, 152.89128,   2.89302,   0.82941,   0.12831,   0.03329
  68.00000,   0.00000,   8.56000,   0.54266,   2.54009,   0.00224,   0.00000,  39.50571, 248.82475,   4.11761,   0.60364,   0.45450,   0.27030
  69.00000,   0.00000,   7.49000,   0.38911,   3.33629,   0.00699,   0.00000,  37.46091, 370.51959,   5.10555,   0.64199,   0.31096,   0.05743
  70.00000,   0.00000,   7.15000,   0.48952,   1.66342,   0.00516,   0.00000,  39.98841, 213.33684,   3.72073,   0.64963,   0.78590,   0.19999
