# ID,label,height,hw_ratio,2d_density,sphericity
 157.00000,   1.00000,   1.01000,   0.33180,  33.56448,   0.03857
 158.00000,   1.00000,   1.47000,   0.52022,  37.82185,   0.04359
 159.00000,   1.00000,   0.85000,   0.33209,  20.91250,   0.01506
 160.00000,   1.00000,   1.13000,   0.39766,  23.65338,   0.03052
 161.00000,   1.00000,   1.48000,   0.48471,  33.57319,   0.03805
 162.00000,   1.00000,   1.49000,   0.41069,  34.26378,   0.06266
 163.00000,   1.00000,   0.49000,   0.26417,  30.81022,   0.00962
 164.00000,   1.00000,   1.30000,   0.39062,  32.86405,   0.05823
 165.00000,   1.00000,   1.31000,   0.46718,  17.04267,   0.02300
 166.00000,   1.00000,   1.62000,   0.54073,  19.72006,   0.01320
 167.00000,   1.00000,   0.98000,   0.36063,  19.22863,   0.02773
 168.00000,   1.00000,   1.56000,   0.45652,  33.05695,   0.03140
 169.00000,   1.00000,   1.28000,   0.40536,  36.30585,   0.02769
 170.00000,   1.00000,   1.04000,   0.37259,  34.01365,   0.04154
 171.00000,   1.00000,   1.18000,   0.37250,  29.79662,   0.07472
 172.00000,   1.00000,   1.30000,   0.47643,  25.25039,   0.02584
 173.00000,   1.00000,   1.09000,   0.39251,  35.66071,   0.04296
 174.00000,   1.00000,   1.32000,   0.48566,  18.95187,   0.05158
 175.00000,   1.00000,   1.20000,   0.48818,  24.49398,   0.03826
 176.00000,   1.00000,   1.28000,   0.38367,  30.09831,   0.09554
 177.00000,   1.00000,   1.14000,   0.37601,  29.80896,   0.02481
 178.00000,   1.00000,   1.77000,   0.64386,  20.90731,   0.03150
 179.00000,   1.00000,   1.22000,   0.43331,  32.92392,   0.02090
 180.00000,   1.00000,   0.95000,   0.34821,  19.88338,   0.08962
 181.00000,   1.00000,   1.10000,   0.32437,  33.21705,   0.08723
 182.00000,   1.00000,   1.04000,   0.34313,  37.22913,   0.05852
 183.00000,   1.00000,   1.48000,   0.45732,  35.51933,   0.07810
 184.00000,   1.00000,   1.63000,   0.48920,  31.61590,   0.02420
 185.00000,   1.00000,   1.32000,   0.36176,  27.63980,   0.06887
 186.00000,   1.00000,   0.96000,   0.33049,  32.23603,   0.01117
 187.00000,   1.00000,   1.11000,   0.33914,  29.21825,   0.09893
 188.00000,   1.00000,   1.40000,   0.42782,  22.59842,   0.17344
 189.00000,   1.00000,   1.46000,   0.43436,  30.35971,   0.07130
 190.00000,   1.00000,   1.22000,   0.40815,  34.36066,   0.04959
 191.00000,   1.00000,   1.73000,   0.59021,  34.45142,   0.01287
 192.00000,   1.00000,   1.36000,   0.46177,  30.43542,   0.06904
 193.00000,   1.00000,   1.32000,   0.46131,  19.90776,   0.02567
 194.00000,   1.00000,   1.24000,   0.35374,  31.90233,   0.02082
 195.00000,   1.00000,   1.15000,   0.49475,  18.69392,   0.04674
 196.00000,   1.00000,   1.25000,   0.41811,  19.46788,   0.04841
 197.00000,   1.00000,   1.03000,   0.33947,  34.32544,   0.03655
 198.00000,   1.00000,   1.18000,   0.41604,  34.80624,   0.04428
 199.00000,   1.00000,   0.85000,   0.26878,  20.49739,   0.06442
 200.00000,   2.00000,   1.73000,   0.47894,  15.55867,   0.03781
 201.00000,   2.00000,   1.91000,   0.11465,   3.57774,   0.06601
 202.00000,   2.00000,   2.48000,   0.52931,  15.67043,   0.00425
 203.00000,   2.00000,   1.37000,   0.35939,  18.30497,   0.00784
 204.00000,   2.00000,   2.71000,   0.07589,   1.67285,   0.00317
 205.00000,   2.00000,   2.23000,   0.91196,  17.89488,   0.00194
 206.00000,   2.00000,   2.00000,   0.92896,  31.92986,   0.00745
 207.00000,   2.00000,   2.33000,   0.32505,   8.58276,   0.01096
 208.00000,   2.00000,   2.37000,   0.16064,   3.80878,   0.03767
 209.00000,   2.00000,   3.33000,   0.63687,  23.44603,   0.01657
 210.00000,   2.00000,   2.92000,   0.33140,  10.60049,   0.01775
 211.00000,   2.00000,   1.46000,   0.73786,  35.24731,   0.00651
 212.00000,   2.00000,   1.81000,   0.67853,  29.23085,   0.01040
 213.00000,   2.00000,   3.60000,   0.08287,   1.43332,   0.00744
 214.00000,   2.00000,   1.45000,   0.58484,  32.53644,   0.00291
 215.00000,   2.00000,   3.31000,   0.10802,   1.52949,   0.11616
